Source,Type,ID,Title,Date,Abstract,Link
OpenAlex,Paper,https://openalex.org/W4386220176,The Potential Role of Ammonia for Hydrogen Storage and Transport: A Critical Review of Challenges and Opportunities,2023,"Hydrogen is being included in several decarbonization strategies as a potential contributor in some hard-to-abate applications. Among other challenges, hydrogen storage represents a critical aspect to be addressed, either for stationary storage or for transporting hydrogen over long distances. Ammonia is being proposed as a potential solution for hydrogen storage, as it allows storing hydrogen as a liquid chemical component at mild conditions. Nevertheless, the use of ammonia instead of pure hyd",https://openalex.org/W4386220176
OpenAlex,Paper,https://openalex.org/W4392919105,On Green Hydrogen Generation Technologies: A Bibliometric Review,2024,"Green hydrogen, produced by water electrolysis with renewable energy, plays a crucial role in the revolution towards energy sustainability, and it is considered a key source of clean energy and efficient storage. Its ability to address the intermittency of renewable sources and its potential to decarbonize sectors that are difficult to electrify make it a strategic component in climate change mitigation. By using a method based on a bibliometric review of scientific publications, this paper repr",https://openalex.org/W4392919105
OpenAlex,Paper,https://openalex.org/W4381687270,A Review of Hydrogen Production from Onboard Ammonia Decomposition: Maritime Applications of Concentrated Solar Energy and Boil-Off Gas Recovery,2023,"&lt;p&gt;The growing interest in the potential role of hydrogen in reducing CO&lt;sub&gt;2&lt;/sub&gt; emissions as an energy carrier has significant implications in the natural gas industry. Hydrogen will eventually replace natural gas as the most widely used cleaner energy carrier. However, due to the challenges of transporting pure hydrogen and its technological immaturity, transporting ammonia would be a practical alternative. Furthermore, unlike hydrogen, ammonia's distribution and transpor",https://openalex.org/W4381687270
OpenAlex,Paper,https://openalex.org/W4416094575,Critical Assessment and Sub‐System Design of a Solar Tower Simulator for Hydrogen Regeneration by Thermo‐Catalytic Ammonia Cracking,2025,"We investigate several critical aspects of a solar tower simulator for thermo‐catalytic ammonia cracking at an ammonia flow rate of 1 kg h −1 . These include (a) assessing the relative impact of optical, conversion, and receiver efficiencies and waste heat recovery (WHR) fraction on the net solar‐to‐hydrogen generation efficiency, (b) designing an optimal WHR and reuse subsystem for the simulator, (c) mitigating the overheating of a 350 We Xe‐short‐arc lamp, and (d) optimizing the catalyst for e",https://openalex.org/W4416094575
OpenAlex,Paper,https://openalex.org/W4379472614,Exploring the Potential of Green Hydrogen Production and Application in the Antofagasta Region of Chile,2023,"Green hydrogen is gaining increasing attention as a key component of the global energy transition towards a more sustainable industry. Chile, with its vast renewable energy potential, is well positioned to become a major producer and exporter of green hydrogen. In this context, this paper explores the prospects for green hydrogen production and use in Chile. The perspectives presented in this study are primarily based on a compilation of government reports and data from the scientific literature",https://openalex.org/W4379472614
OpenAlex,Paper,https://openalex.org/W4363677542,"Biological Hydrogen Production from Biowaste Using Dark Fermentation, Storage and Transportation",2023,"Hydrogen is widely considered as the fuel of the future. Due to the challenges present during hydrogen production using conventional processes and technologies, additional methods must be considered, like the use of microorganisms. One of the most promising technologies is dark fermentation, a process where microorganisms are utilized to produce hydrogen from biomass. The paper provides a comprehensive overview of the biological processes of hydrogen production, specifically emphasizing the dark",https://openalex.org/W4363677542
OpenAlex,Paper,https://openalex.org/W4382135527,Challenges of Application of Green Ammonia as Fuel in Onshore Transportation,2023,"The main purpose of the article is to present a comprehensive and critical review of the challenges and risks associated with the use of green ammonia as an alternative fuel in land transport. The review is motivated by the clear trend toward phasing out fossil fuel vehicles and replacing them with emission-free alternatives. Topics covered include safety aspects such as safety of powering of vehicles, the production of green ammonia, the use of ammonia in the context of various fuel solutions (",https://openalex.org/W4382135527
OpenAlex,Paper,https://openalex.org/W4383532707,Unraveling the promoter role of Ba in Co–Ce catalysts for ammonia decomposition using microkinetic modeling,2023,"Ammonia decomposition is an attractive process for decarbonized hydrogen production. Alkalis are known to promote the reaction, which is especially important to enable non-noble metal catalysts to achieve similar performances to the benchmark Ru catalyst. Herein, we evaluate the kinetic contribution of Ba as a promoter in Co–Ce catalysts, using a microkinetic approach to investigate the influence of the promoter on the elementary steps of ammonia decomposition. For this purpose, we performed exp",https://openalex.org/W4383532707
OpenAlex,Paper,https://openalex.org/W4406766931,"Recovered Ammonia as a Sustainable Energy Carrier: Innovations in Recovery, Combustion, and Fuel Cells",2025,"Recovered ammonia, extracted from waste streams such as industrial leachates and organic waste, represents a unique opportunity to harness a sustainable, carbon-free energy resource. This paper focuses on the energy potential of ammonia recovered from waste, emphasizing its role as a critical element in the transition to a low-carbon economy. Integrating recovered ammonia into energy systems enables industries to reduce dependence on conventional ammonia production, lower greenhouse gas emission",https://openalex.org/W4406766931
OpenAlex,Paper,https://openalex.org/W4390571919,A Relationship for Estimating the Ignition Delay of Hydrogen-Enriched Ammonia-Air Mixtures,2023,"Ammonia and hydrogen are two excellent solutions for decarbonization.Ammonia can be burnt as a neat fuel or in blends with hydrogen and can also be used as an energy carrier for hydrogen.In this paper, the authors used chemical kinetic mechanisms to evaluate the ignition delay of ammonia-hydrogen blends (from 10 to 50% of hydrogen by volume) by means of both tabulated data and a specific mathematical relationship.Using Cantera environment, the method has been validated at first comparing the cal",https://openalex.org/W4390571919
EPO,Patent,US.20260028949.A1,Patent US20260028949,Unknown Date,Abstract not available via OPS.,https://worldwide.espacenet.com/publicationDetails/biblio?CC=US&NR=20260028949&KC=A1
EPO,Patent,WO.2025000756.A1,Patent WO2025000756,Unknown Date,Abstract not available via OPS.,https://worldwide.espacenet.com/publicationDetails/biblio?CC=WO&NR=2025000756&KC=A1
EPO,Patent,CN.116816552.A,Patent CN116816552,Unknown Date,Abstract not available via OPS.,https://worldwide.espacenet.com/publicationDetails/biblio?CC=CN&NR=116816552&KC=A
EPO,Patent,CN.102782921.A,Patent CN102782921,Unknown Date,Abstract not available via OPS.,https://worldwide.espacenet.com/publicationDetails/biblio?CC=CN&NR=102782921&KC=A
EPO,Patent,WO.2011107279.A1,Patent WO2011107279,Unknown Date,Abstract not available via OPS.,https://worldwide.espacenet.com/publicationDetails/biblio?CC=WO&NR=2011107279&KC=A1
Tavily,News,N/A,Ammonia decomposition and hydrogen production via novel ...,N/A,"X-ray photoelectron spectroscopy (XPS) was used to study the chemical state variations and elemental quantifications of the (FeCoNiCuMn)O HEC catalytic electrode before and after ammonia decomposition, providing a comprehensive understanding of the chemical reactions during decomposition. The GC spectrum in Fig. 5, obtained after NH3 decomposition, displays three distinct peaks corresponding to hydrogen (green), nitrogen (blue), and oxygen (purple), indicating the ability of the HEC catalytic el",https://www.nature.com/articles/s41545-025-00517-8
Tavily,News,N/A,Recent progress on ammonia cracking technologies for scalable ...,N/A,"# Review article Recent progress on ammonia cracking technologies for scalable hydrogen production☆. The global energy transition necessitates the development of technologies enabling cost-effective and scalable conversion of renewable energies into storable and transportable forms. Green ammonia, with its high hydrogen storage capacity, emerges as a promising carbon-free hydrogen carrier. This article reviews recent progress in industrially relevant catalysts and technologies for ammonia cracki",https://www.sciencedirect.com/science/article/pii/S245222362400066X
Tavily,News,N/A,Industrial demonstration of ammonia cracking: exploring global ...,N/A,"A wide range of applications is currently favored for ammonia cracking, including historical applications like metallurgy and heavy water production.",https://ammoniaenergy.org/articles/industrial-demonstration-of-ammonia-cracking-exploring-global-progress/
Tavily,News,N/A,Ammonia Cracking - Technip Energies,N/A,"## Unlocking sustainable hydrogen with high efficiency and low-energy intensity ammonia cracking. Ammonia cracking to hydrogen is considered an efficient way to generate hydrogen on-site or during transportation, as ammonia serves as a convenient hydrogen carrier due to its high energy density and ease of storage. ### Hynext by T.EN™: highly efficient, low-energy intensity ammonia cracking technology solution. Backed by 60 years of expertise in hydrogen and ammonia production plants, Technip Ene",https://www.ten.com/en/markets/ammonia-cracking
Tavily,News,N/A,Hydrogen generation via ammonia decomposition on highly efficient ...,N/A,"## Hydrogen generation *via* ammonia decomposition on highly efficient and stable Ru-free catalysts: approaching complete conversion at 450 °C† available. Thermocatalytic ammonia decomposition reaction (ADR) is an effective way to produce clean H2 but it relies on the use of expensive and rare ruthenium (Ru)-based catalysts at elevated temperatures (>500 °C), hence is not sustainable and economically feasible. ### Hydrogen generation *via* ammonia decomposition on highly efficient and stable Ru-",https://pubs.rsc.org/en/content/articlelanding/2022/ee/d1ee03730g
Tavily,News,N/A,Sustainable hydrogen through decomposition of ammonia and its ...,N/A,"Sustainable hydrogen through decomposition of ammonia and its derivatives by thermochemical processes: a review. * Discussed on the catalytic based thermochemical process for ammonia decomposition. Current efforts in the field of H2 generation rely on a process which includes the decomposition of ammonia gas, this achieves a high yield through the application of alkali metal amide/imides as effective catalysts. H2 Production via ammonia decomposition using non-noble metal catalysts: A Review. H2","http://www.international-agrophysics.org/Sustainable-hydrogen-through-decomposition-of-ammonia-and-its-derivatives-by-thermochemical,187984,0,2.html"
Tavily,News,N/A,World first: Air Liquide's innovative technology converts Ammonia ...,N/A,"# World first: Air Liquide’s innovative technology converts Ammonia into Hydrogen at industrial scale, paving the way for new low-carbon supply chains. **Air Liquide announced the successful start-up of the world’s first industrial-scale ammonia cracking pilot unit with a 30 tons per day ammonia to hydrogen conversion capacity at the Port of Antwerp-Bruges, Belgium. This technology proven at the industrial scale for the development of world scale ammonia cracking plants enables access to low-car",https://www.airliquide.com/group/press-releases-news/2025-11-13/world-first-air-liquides-innovative-technology-converts-ammonia-hydrogen-industrial-scale-paving-way
Tavily,News,N/A,Why ammonia is the more efficient hydrogen carrier - thyssenkrupp,N/A,"# Why ammonia is the more efficient hydrogen carrier. Since the transport of hydrogen, also called liquid H2, is very complex, lossy, and expensive, one chemical compound is a particularly important energy carrier for the energy transition: ammonia (NH3). ## Ammonia - an ideal hydrogen storage medium and energy carrier. The use of ammonia as an energy carrier and means of transporting hydrogen has many advantages. To produce green ammonia, hydrogen is produced by electrolysis from 100% renewable",https://www.thyssenkrupp.com/en/stories/sustainability-and-climate-protection/why-ammonia-is-the-more-efficient-hydrogen-carrier
Tavily,News,N/A,Ammonia Decomposition Technology – Clean Hydrogen & Emission ...,N/A,Ammonia decomposition enables efficient hydrogen production by converting NH 3 into nitrogen and hydrogen. This technology supports low-carbon energy solutions.,https://www.dinex.org/future-technologies/ammonia-decomposition-technology/
Tavily,News,N/A,High efficiency ammonia cracking—a carbon-free foundation for ...,N/A,"# High efficiency ammonia cracking—a carbon-free foundation for clean hydrogen fuel. Ammonia cracking is the process of splitting ammonia into its base elements—nitrogen and hydrogen. **How does ammonia cracking work?**. This is important, because the higher the temperature needed to crack ammonia, the less efficient (and more expensive) the process becomes. Catalysts play a crucial role in the economic viability, effectiveness, and efficiency of ammonia cracking. Traditional ammonia cracking ta",http://amogy.co/news/high-efficiency-ammonia-cracking-a-carbon-free-foundation-for-clean-hydrogen-fuel
